Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2018-12-28,1416.10,1387.52,1408.74,,1,
2018-12-27,1420.50,1378.42,1384.59,,1,
2018-12-21,1418.47,1397.99,1408.34,,1,
2018-12-20,1446.83,1419.01,1419.01,,1,
2018-12-19,1455.84,1444.72,1450.11,,1,
2018-12-18,1457.15,1443.08,1447.79,,1,
2018-12-17,1471.68,1450.36,1451.95,,1,
2018-12-14,1481.72,1458.65,1471.67,,1,
2018-12-13,1497.31,1476.80,1478.75,,1,
2018-12-12,1494.21,1465.54,1494.21,,1,
2018-12-11,1473.66,1436.67,1465.29,,1,
2018-12-10,1453.23,1435.55,1435.55,,1,
2018-12-07,1468.28,1438.91,1454.03,,1,
2018-12-06,1477.90,1436.66,1436.66,,1,
2018-12-05,1502.37,1478.91,1478.96,,1,
2018-12-04,1528.72,1506.43,1506.43,,1,
2018-12-03,1544.39,1523.88,1529.78,,1,
2018-11-30,1519.18,1509.22,1514.63,,1,
2018-11-29,1518.62,1501.65,1515.38,,1,
2018-11-28,1505.74,1493.12,1500.45,,1,
2018-11-27,1505.07,1490.76,1496.41,,1,
2018-11-26,1498.25,1480.12,1498.25,,1,
2018-11-23,1477.65,1465.04,1477.35,,1,
2018-11-22,1478.35,1465.22,1466.39,,1,
2018-11-21,1478.44,1456.85,1478.44,,1,
2018-11-20,1480.30,1447.97,1456.85,,1,
2018-11-19,1509.14,1481.90,1482.49,,1,
2018-11-16,1505.74,1489.29,1499.43,,1,
2018-11-15,1510.07,1482.52,1489.79,,1,
2018-11-14,1518.68,1496.86,1502.45,,1,
2018-11-13,1527.29,1505.20,1520.26,,1,
2018-11-12,1537.99,1513.48,1514.59,,1,
2018-11-09,1535.25,1528.58,1530.51,,1,
2018-11-08,1549.74,1534.95,1536.79,,1,
2018-11-07,1547.42,1535.06,1538.69,,1,
2018-11-06,1541.87,1529.40,1534.60,,1,
2018-11-05,1550.66,1534.69,1539.01,,1,
2018-11-02,1551.79,1537.69,1551.39,,1,
2018-11-01,1541.81,1525.08,1531.26,,1,
2018-10-31,1544.98,1519.78,1538.22,,1,
2018-10-30,1516.00,1495.87,1516.00,,1,
2018-10-29,1517.72,1485.86,1503.14,,1,
2018-10-26,1504.46,1473.79,1485.27,,1,
2018-10-25,1511.33,1487.68,1506.02,,1,
2018-10-24,1523.07,1500.24,1501.47,,1,
2018-10-23,1523.27,1499.64,1508.88,,1,
2018-10-22,1545.36,1523.46,1526.05,,1,
2018-10-19,1546.92,1510.69,1531.66,,1,
2018-10-18,1558.61,1542.42,1543.87,,1,
2018-10-17,1562.78,1544.99,1548.27,,1,
2018-10-16,1554.16,1526.67,1554.16,,1,
2018-10-15,1539.82,1521.32,1536.10,,1,
2018-10-12,1565.54,1536.46,1536.46,,1,
2018-10-11,1591.56,1547.15,1550.41,,1,
2018-10-10,1626.19,1591.93,1595.13,,1,
2018-10-09,1625.77,1607.82,1624.49,,1,
2018-10-08,1634.45,1620.82,1621.19,,1,
2018-10-05,1649.61,1633.68,1634.86,,1,
2018-10-04,1664.80,1643.56,1648.96,,1,
2018-10-03,1677.33,1658.73,1665.14,,1,
2018-10-02,1665.90,1650.57,1656.90,,1,
2018-10-01,1670.35,1657.08,1667.45,,1,
2018-09-28,1674.91,1654.20,1662.36,,1,
