Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2018-12-28,41.87,41.89,41.30,42.24,41.30,41.98,41.945,11906874,499448365.09,6020
2018-12-27,41.20,41.22,42.28,42.45,41.05,41.15,41.586,14275601,593702476.42,7905
2018-12-21,42.38,42.39,42.31,42.59,41.59,42.46,42.284,24419874,1032523909.7,10454
2018-12-20,42.83,42.86,42.92,43.00,42.48,42.84,42.815,15988344,684500836.04,8734
2018-12-19,43.33,43.35,43.05,43.53,43.03,43.42,43.35,15864235,687562810.8,7017
2018-12-18,43.07,43.09,43.76,43.96,42.89,43.05,43.117,14468556,623846255.32,7690
2018-12-17,43.47,43.50,43.40,43.85,43.32,43.47,43.53,15141794,659154125.14,8033
2018-12-14,43.36,43.39,42.67,43.48,42.63,43.48,43.225,14475792,625687586.42,7503
2018-12-13,42.79,42.80,43.12,43.39,42.72,42.72,42.981,14917291,641246944.27,7813
2018-12-12,42.93,42.94,42.55,43.00,42.49,43.00,42.868,15042540,644604738.4,7707
2018-12-11,42.35,42.37,41.65,42.60,41.63,42.34,42.318,19016036,804716273.35,9190
2018-12-10,41.54,41.56,41.50,42.06,41.40,41.53,41.673,13293367,554144793.26,7714
2018-12-07,41.71,41.73,41.28,42.19,41.24,41.68,41.791,13826475,578051514.33,7050
2018-12-06,41.14,41.16,41.38,41.55,41.00,41.00,41.195,14487895,596964796.66,7670
2018-12-05,41.56,41.58,41.83,41.90,41.51,41.60,41.691,10264483,427943291.69,5293
2018-12-04,42.04,42.06,41.98,42.24,41.85,41.92,42.013,12736861,535114580.29,6082
2018-12-03,41.97,41.98,42.23,42.42,41.73,42.01,42.028,11719268,492509566.64,7118
2018-11-30,42.00,42.02,42.05,42.27,41.82,41.99,42.042,11798770,496077433.27,5979
2018-11-29,42.00,42.02,42.14,42.42,41.89,42.05,42.106,7126260,300057822.57,4127
2018-11-28,42.01,42.02,42.00,42.70,41.88,42.04,42.098,11294756,475581116.33,6590
2018-11-27,41.77,41.79,41.40,41.99,41.30,41.80,41.793,10833464,452775220.57,6797
2018-11-26,41.38,41.39,40.59,41.68,40.51,41.45,41.226,10757620,443522848.98,6727
2018-11-23,40.42,40.44,40.13,40.56,40.06,40.49,40.427,6657412,269133733.58,4303
2018-11-22,40.16,40.18,40.44,40.51,40.14,40.14,40.228,7531939,302997658.78,3778
2018-11-21,40.51,40.52,40.27,40.56,40.08,40.56,40.362,11346547,457960378.52,7554
2018-11-20,40.07,40.09,40.95,41.00,40.08,40.14,40.397,14689588,593490833.63,9357
